Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2017,Michigan State,966544,10/5/17,"1:21:40:23,22",4,64.5,250,"Saint Louis, MO  63102"
Football 2017,Michigan State,966545,10/5/17,"1:3:59:8,7",4,71.67,219,"Plymouth, MI  48170"
Football 2017,Michigan State,966548,10/5/17,"1:21:14:2,1",4,71.67,275,"New York, NY  10019"
Football 2017,Michigan State,966549,10/5/17,"1:41:33:12,9",8,71.67,245,"Rochester, MI  48309"
Football 2017,Michigan State,966551,10/5/17,"1:22:20:25,25",2,155,275,"Kitchener, ON  N2R 1P9"
Football 2017,Michigan State,966554,10/5/17,"1:40:23:2,1",4,71.67,215,"Milford, MI  48381"
Football 2017,Michigan State,966556,10/5/17,"1:10:87:2,1",4,125,170,"Chicago, IL  60661"
Football 2017,Michigan State,966557,10/5/17,"1:21:38:22,19",8,71.67,295,"New York, NY  10013"
Football 2017,Michigan State,966558,10/5/17,"1:9:81:12,11",4,71.67,183,"Bloomfield Hills, MI  48304"
Football 2017,Michigan State,966562,10/5/17,"1:22:22:25,25",2,155,278.03,"Albion, MI  49224"
Football 2017,Michigan State,966563,10/5/17,"1:24:5:19,18",4,71.67,500,"Los Angeles, CA  90066"
Football 2017,Michigan State,966568,10/5/17,"1:18:44:22,21",4,71.67,220,"Dallas, TX  75206"
Football 2017,Michigan State,966569,10/5/17,"1:21:70:16,15",4,71.67,279,"Syosset, NY  11791"
Football 2017,Michigan State,966573,10/5/17,"1:7:39:4,3",4,71.67,180,"Saint Charles, MO  63303"
Football 2017,Michigan State,966575,10/5/17,"1:11:84:18,17",4,71.67,178.06,"Mount Victory, OH  43340"
Football 2017,Michigan State,966576,10/5/17,"1:12:37:26,25",4,71.67,195,"Lansing, MI  48915"
Football 2017,Michigan State,966577,10/5/17,"1:6:B:21,20",4,71.67,220,"Royal Oak, MI  48067"
Football 2017,Michigan State,966578,10/5/17,"1:21:14:16,15",4,71.67,290,"Ann Arbor, MI  48103"
Football 2017,Michigan State,966580,10/5/17,"1:4:10:18,17",4,140,210,"San Francisco, CA  94109"
Football 2017,Michigan State,966584,10/5/17,"1:12:86:5,5",2,125,172,"Farmington, MI  48336"
Football 2017,Michigan State,966585,10/5/17,"1:38:79:8,7",4,125,172,"Sterling Heights, MI  48310"
Football 2017,Michigan State,966586,10/5/17,"1:21:19:10,9",4,71.67,284,"Birmingham, MI  48009"
Football 2017,Michigan State,966589,10/5/17,"1:2:A:6,5",4,71.67,490,"Stockbridge, GA  30281"
Football 2017,Michigan State,966592,10/5/17,"1:36:64:34,33",4,71.67,172,"Taylor, MI  48180"
Football 2017,Michigan State,966593,10/5/17,"1:2:8:23,22",4,64.5,375,"East Lansing, MI  48823"
Football 2017,Michigan State,966595,10/5/17,"1:12:58:6,5",4,71.67,180,"Plymouth, MI  48170"
Football 2017,Michigan State,966597,10/5/17,"1:9:47:12,11",4,71.67,194,"Windsor, ON  N8Y 3L9"
Football 2017,Michigan State,966598,10/5/17,"1:3:88:26,25",4,71.67,185,"Chicago, IL  60613"
Football 2017,Michigan State,966601,10/5/17,"1:34:95:26,25",4,125,181,"Camarillo, CA  93010"
Football 2017,Michigan State,966602,10/5/17,"1:21:41:12,11",4,71.67,260.78,"Oviedo, FL  32765"
Football 2017,Michigan State,966605,10/5/17,"1:1:30:6,5",4,71.67,295,"Chicago, IL  60613"
Football 2017,Michigan State,966606,10/5/17,"1:15:76:33,33",2,125,177,"Dafter, MI  49724"
Football 2017,Michigan State,966606,10/5/17,"1:18:89:20,19",4,71.67,180,"Dafter, MI  49724"
